Company Name,Channel Normalised,Contact Email,Contact Name,Deal ID,Deal Stage,Deal Status,Deal Value EUR,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Week Starting,Ticket Type,Lead Source,Notes
Binance Labs,LinkedIn,,H. Weber,POT-2026-015,Qualified,Open,3566,2026,Qtr 1,January,2,2025,Qtr 4,December,6,2025,Qtr 4,December,21,2025-12-01 00:00:00,Delegate,LinkedIn,Met at Davos 2025
BNP Paribas DeFi,LinkedIn Ads,larsen@bnpparibasde.com,B. Larsen,POT-2026-043,Closed Won,Won,6338,2025,Qtr 4,December,11,2025,Qtr 4,October,27,2025,Qtr 4,December,11,2025-10-27 00:00:00,Vip Delegate,LinkedIn Outreach,Previously attended POT 2024
BNP Paribas DeFi,LinkedIn Ads,müller@bnpparibasde.com,A. Müller,POT-2026-002,Contacted,Open,37636,2025,Qtr 4,December,17,2025,Qtr 4,October,30,2025,Qtr 4,November,11,2025-10-27 00:00:00,Sponsor - Gold,LinkedIn Outreach,"Very engaged, quick responses"
BNP Paribas DeFi,Organic,costa@bnpparibasde.com,G. Costa,POT-2026-003,Lead,Open,3156,2025,Qtr 4,December,22,2025,Qtr 4,November,20,2025,Qtr 4,December,12,2025-11-17 00:00:00,Delegate,Past Attendee,"Slow to respond, follow up needed"
BNP Paribas DeFi,Organic,okafor@bnpparibasde.com,D. Okafor,POT-2026-005,Contacted,Open,30825,2026,Qtr 1,January,13,2025,Qtr 4,November,19,2025,Qtr 4,December,6,2025-11-17 00:00:00,Sponsor - Gold,Inbound - Website,"Slow to respond, follow up needed"
Chainlink Labs,Email,okafor@chainlinklab.com,D. Okafor,POT-2026-055,Closed Won,Won,85,2026,Qtr 1,January,31,2026,Qtr 1,January,28,2026,Qtr 1,January,31,2026-01-26 00:00:00,Media Pass,Email Campaign,Wants to meet sovereign wealth fund attendees
Circle Financial,Organic,,M. Chen,POT-2026-019,Contacted,Open,4315,2026,Qtr 1,February,16,2025,Qtr 4,November,15,2025,Qtr 4,December,30,2025-11-10 00:00:00,Delegate,Conference Meeting,Budget approval pending
Circle Financial,Organic,bernard@circlefinanc.com,L. Bernard,POT-2026-061,Proposal Sent,Open,31,2026,Qtr 1,January,18,2025,Qtr 4,December,5,2025,Qtr 4,December,9,2025-12-01 00:00:00,Media Pass,Website Inquiry,
Circle Financial,Organic,nakamura@circlefinanc.com,T. Nakamura,POT-2026-053,Proposal Sent,Open,2282,2025,Qtr 4,December,31,2025,Qtr 4,November,27,2025,Qtr 4,December,19,2025-11-24 00:00:00,Delegate,Website,
CoinDesk Ventures,Organic,santos@coindeskvent.com,E. Santos,POT-2026-048,Contacted,Open,0,2025,Qtr 4,December,2,2025,Qtr 4,October,18,2025,Qtr 4,November,13,2025-10-13 00:00:00,Speaker,Conference Meeting,Comparing with TOKEN2049 sponsorship
Delphi Digital,LinkedIn Ads,al-rashid@delphidigita.com,R. Al-Rashid,POT-2026-044,Contacted,Open,5354,2026,Qtr 1,January,24,2026,Qtr 1,January,14,2026,Qtr 1,January,17,2026-01-12 00:00:00,Vip Delegate,LinkedIn Outreach,Budget approval pending
Delphi Digital,Organic,johansson@delphidigita.com,P. Johansson,POT-2026-004,Negotiation,Open,37657,2026,Qtr 1,January,3,2025,Qtr 4,November,13,2025,Qtr 4,December,19,2025-11-10 00:00:00,Sponsor - Gold,Past Attendee,Needs board approval
DWF Labs,Organic,bernard@dwflabs.com,L. Bernard,POT-2026-025,Negotiation,Open,43271,2025,Qtr 4,December,17,2025,Qtr 4,October,13,2025,Qtr 4,November,5,2025-10-13 00:00:00,Sponsor,Inbound - Website,Referred by past speaker
EY Blockchain,Organic,andersson@eyblockchain.com,I. Andersson,POT-2026-047,Closed Won,Won,6979,2026,Qtr 1,January,31,2026,Qtr 1,January,17,2026,Qtr 1,January,31,2026-01-12 00:00:00,Vip Delegate,Conference Meeting,Decision expected mid-Feb
EY Blockchain,Organic,dubois@eyblockchain.com,N. Dubois,POT-2026-039,Closed Lost,Lost,45990,2026,Qtr 1,January,31,2026,Qtr 1,January,28,2026,Qtr 1,January,31,2026-01-26 00:00:00,Sponsor - Gold,Website Inquiry,
EY Blockchain,Referral,zhang@eyblockchain.com,W. Zhang,POT-2026-034,Qualified,Open,47770,2025,Qtr 4,November,27,2025,Qtr 4,October,12,2025,Qtr 4,November,5,2025-10-06 00:00:00,Sponsor,Referral,Interested in speaking slot + sponsor package
Fireblocks,LinkedIn,bernard@fireblocks.com,L. Bernard,POT-2026-020,Contacted,Open,1775,2025,Qtr 4,December,23,2025,Qtr 4,October,4,2025,Qtr 4,November,7,2025-09-29 00:00:00,Delegate,LinkedIn,Interested in premium networking opportunities
GSR Markets,Organic,santos@gsrmarkets.com,E. Santos,POT-2026-017,Qualified,Open,372,2025,Qtr 4,December,18,2025,Qtr 4,November,9,2025,Qtr 4,December,7,2025-11-03 00:00:00,Media Pass,Website Inquiry,Needs board approval
HTX Ventures,LinkedIn,weber@htxventures.com,H. Weber,POT-2026-023,Contacted,Open,0,2026,Qtr 1,February,17,2026,Qtr 1,January,1,2026,Qtr 1,January,31,2025-12-29 00:00:00,Speaker,LinkedIn,Comparing with TOKEN2049 sponsorship
HTX Ventures,Organic,santos@htxventures.com,E. Santos,POT-2026-007,Lead,Open,42458,2025,Qtr 4,December,31,2025,Qtr 4,December,17,2025,Qtr 4,December,20,2025-12-15 00:00:00,Sponsor - Gold,Conference Meeting,Interested in premium networking opportunities
HTX Ventures,Organic,tanaka@htxventures.com,K. Tanaka,POT-2026-018,Closed Lost,Lost,27036,2025,Qtr 4,November,25,2025,Qtr 4,October,29,2025,Qtr 4,November,25,2025-10-27 00:00:00,Sponsor - Gold,Website Inquiry,
KPMG Crypto,Email,smith@kpmgcrypto.com,J. Smith,POT-2026-029,Lead,Open,18689,2025,Qtr 4,December,15,2025,Qtr 4,October,1,2025,Qtr 4,November,9,2025-09-29 00:00:00,Sponsor - Silver,Email Campaign,Previously attended POT 2024
KPMG Crypto,LinkedIn Ads,okafor@kpmgcrypto.com,D. Okafor,POT-2026-052,Contacted,Open,43986,2026,Qtr 1,February,2,2025,Qtr 4,December,22,2026,Qtr 1,January,22,2025-12-22 00:00:00,Sponsor,LinkedIn Outreach,Interested in speaking slot + sponsor package
Ledger Enterprise,Email,santos@ledgerenterp.com,E. Santos,POT-2026-036,Lead,Open,39134,2026,Qtr 1,February,17,2026,Qtr 1,January,4,2026,Qtr 1,January,31,2025-12-29 00:00:00,Sponsor - Gold,Email Campaign,Wants to meet sovereign wealth fund attendees
Ledger Enterprise,Referral,chen@ledgerenterp.com,M. Chen,POT-2026-001,Closed Lost,Lost,35137,2025,Qtr 4,October,28,2025,Qtr 4,October,16,2025,Qtr 4,October,28,2025-10-13 00:00:00,Sponsor - Gold,Referral,
McKinsey Blockchain,Referral,johansson@mckinseybloc.com,P. Johansson,POT-2026-014,Qualified,Open,1836,2025,Qtr 4,December,23,2025,Qtr 4,November,28,2025,Qtr 4,December,13,2025-11-24 00:00:00,Delegate,Referral,Interested in premium networking opportunities
Messari Analytics,Organic,patel@messarianaly.com,S. Patel,POT-2026-042,Qualified,Open,3992,2026,Qtr 1,February,23,2025,Qtr 4,December,15,2026,Qtr 1,January,17,2025-12-15 00:00:00,Delegate,Inbound - Website,Referred by past speaker
Meta AI Labs,Email,,R. Al-Rashid,POT-2026-006,Contacted,Open,47847,2025,Qtr 4,November,8,2025,Qtr 4,October,11,2025,Qtr 4,October,17,2025-10-06 00:00:00,Sponsor - Gold,Email Campaign,"Slow to respond, follow up needed"
Meta AI Labs,Email,rossi@metaailabs.com,F. Rossi,POT-2026-038,Closed Lost,Lost,99960,2026,Qtr 1,January,3,2025,Qtr 4,December,13,2026,Qtr 1,January,3,2025-12-08 00:00:00,Sponsor - Platinum,Email Campaign,Previously attended POT 2024
Meta AI Labs,LinkedIn Ads,popov@metaailabs.com,V. Popov,POT-2026-009,Proposal Sent,Open,3240,2026,Qtr 1,January,16,2025,Qtr 4,November,17,2025,Qtr 4,December,25,2025-11-17 00:00:00,Delegate,LinkedIn Outreach,Needs board approval
Multicoin Capital,Cold Outreach,zhang@multicoincap.com,W. Zhang,POT-2026-051,Contacted,Open,12080,2026,Qtr 1,February,7,2026,Qtr 1,January,17,2026,Qtr 1,January,31,2026-01-12 00:00:00,Sponsor - Silver,Cold Outreach,
Nomura Digital,LinkedIn,johansson@nomuradigita.com,P. Johansson,POT-2026-040,Qualified,Open,21135,2026,Qtr 1,February,13,2025,Qtr 4,December,30,2026,Qtr 1,January,5,2025-12-29 00:00:00,Sponsor - Silver,LinkedIn,Interested in premium networking opportunities
OpenAI Ventures,Organic,chen@openaiventur.com,M. Chen,POT-2026-060,Qualified,Open,21268,2026,Qtr 1,March,25,2026,Qtr 1,January,25,2026,Qtr 1,January,31,2026-01-19 00:00:00,Sponsor - Silver,Website,Comparing with TOKEN2049 sponsorship
Optimism Foundation,Organic,chen@optimismfoun.com,M. Chen,POT-2026-010,Contacted,Open,284,2026,Qtr 1,January,2,2025,Qtr 4,November,28,2025,Qtr 4,December,5,2025-11-24 00:00:00,Media Pass,Website,"Slow to respond, follow up needed"
Optimism Foundation,Organic,larsen@optimismfoun.com,B. Larsen,POT-2026-057,Contacted,Open,109,2026,Qtr 1,January,25,2025,Qtr 4,December,13,2026,Qtr 1,January,3,2025-12-08 00:00:00,Media Pass,Inbound - Website,Interested in speaking slot + sponsor package
Optimism Foundation,Organic,tanaka@optimismfoun.com,K. Tanaka,POT-2026-021,Negotiation,Open,299,2026,Qtr 1,February,4,2025,Qtr 4,November,6,2025,Qtr 4,December,9,2025-11-03 00:00:00,Media Pass,Website,Comparing with TOKEN2049 sponsorship
Pantera Capital,Cold Outreach,santos@panteracapit.com,E. Santos,POT-2026-062,Closed Won,Won,2175,2026,Qtr 1,January,31,2026,Qtr 1,January,16,2026,Qtr 1,January,31,2026-01-12 00:00:00,Delegate,Cold Outreach,Met at Davos 2025
Pantera Capital,Organic,okafor@panteracapit.com,D. Okafor,POT-2026-027,Closed Lost,Lost,43274,2025,Qtr 4,December,30,2025,Qtr 4,December,15,2025,Qtr 4,December,30,2025-12-15 00:00:00,Sponsor - Gold,Inbound - Website,Wants to meet sovereign wealth fund attendees
Paradigm,Organic,weber@paradigm.com,H. Weber,POT-2026-037,Closed Won,Won,1785,2026,Qtr 1,January,31,2026,Qtr 1,January,13,2026,Qtr 1,January,31,2026-01-12 00:00:00,Delegate,Past Attendee,Needs board approval
Polygon Ventures,Organic,,L. Bernard,POT-2026-054,Qualified,Open,97965,2026,Qtr 1,February,24,2025,Qtr 4,December,2,2025,Qtr 4,December,26,2025-12-01 00:00:00,Sponsor - Platinum,Website,Budget approval pending
PwC Digital,Organic,,C. Kim,POT-2026-045,Negotiation,Open,177,2026,Qtr 1,March,18,2026,Qtr 1,January,23,2026,Qtr 1,January,31,2026-01-19 00:00:00,Media Pass,Inbound - Website,
PwC Digital,Referral,chen@pwcdigital.com,M. Chen,POT-2026-011,Negotiation,Open,2003,2025,Qtr 4,November,7,2025,Qtr 4,October,12,2025,Qtr 4,October,18,2025-10-06 00:00:00,Delegate,Referral,
SBI Holdings,Referral,santos@sbiholdings.com,E. Santos,POT-2026-028,Negotiation,Open,424,2026,Qtr 1,February,3,2025,Qtr 4,December,30,2026,Qtr 1,January,11,2025-12-29 00:00:00,Media Pass,Referral,"Slow to respond, follow up needed"
StarkWare,Organic,al-rashid@starkware.com,R. Al-Rashid,POT-2026-056,Closed Lost,Lost,3901,2025,Qtr 4,October,29,2025,Qtr 4,October,23,2025,Qtr 4,October,29,2025-10-20 00:00:00,Delegate,Website,Interested in speaking slot + sponsor package
StarkWare,Referral,chen@starkware.com,M. Chen,POT-2026-064,Lead,Open,0,2026,Qtr 1,January,24,2025,Qtr 4,November,9,2025,Qtr 4,December,12,2025-11-03 00:00:00,Speaker,Referral,Budget approval pending
Swiss Crypto AG,Email,smith@swisscryptoa.com,J. Smith,POT-2026-030,Qualified,Open,19845,2026,Qtr 1,March,20,2025,Qtr 4,December,29,2026,Qtr 1,January,31,2025-12-29 00:00:00,Sponsor - Silver,Email Campaign,Previously attended POT 2024
Swiss Crypto AG,Organic,,K. Tanaka,POT-2026-016,Qualified,Open,1584,2026,Qtr 1,February,13,2025,Qtr 4,December,6,2026,Qtr 1,January,2,2025-12-01 00:00:00,Delegate,Conference Meeting,"Very engaged, quick responses"
Taurus Group,LinkedIn,rossi@taurusgroup.com,F. Rossi,POT-2026-022,Closed Won,Won,85667,2025,Qtr 4,December,7,2025,Qtr 4,November,30,2025,Qtr 4,December,7,2025-11-24 00:00:00,Sponsor - Platinum,LinkedIn,Needs board approval
TechCrunch Media,Organic,okafor@techcrunchme.com,D. Okafor,POT-2026-033,Proposal Sent,Open,467,2025,Qtr 4,December,6,2025,Qtr 4,October,15,2025,Qtr 4,November,21,2025-10-13 00:00:00,Media Pass,Inbound - Website,Interested in speaking slot + sponsor package
Wintermute Trading,Email,popov@wintermutetr.com,V. Popov,POT-2026-050,Closed Lost,Lost,15077,2025,Qtr 4,December,26,2025,Qtr 4,December,10,2025,Qtr 4,December,26,2025-12-08 00:00:00,Sponsor - Silver,Email Campaign,Decision expected mid-Feb
Wintermute Trading,Organic,weber@wintermutetr.com,H. Weber,POT-2026-041,Negotiation,Open,33712,2025,Qtr 4,November,19,2025,Qtr 4,October,24,2025,Qtr 4,October,25,2025-10-20 00:00:00,Sponsor,Website Inquiry,Interested in speaking slot + sponsor package
